time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,4.438228542e-06,4.644844444e-04,1.605013333e-07,7.896235556e-05,1.482533264e+03,6.684000000e+01
6.070000e-06,2.267468787e-06,1.746782222e-04,8.916133333e-08,2.969529778e-05,1.718497046e+03,9.494000000e+01
7.080000e-06,1.309258905e-06,6.660222222e-05,5.956844444e-08,1.132237778e-05,1.917572089e+03,1.397600000e+02
8.520000e-06,7.091295862e-07,1.561644444e-05,4.203866667e-08,2.654795556e-06,2.119700124e+03,2.699300000e+02
1.053000e-05,3.273632110e-07,6.210133333e-07,3.329200000e-08,1.055722667e-07,2.493199054e+03,1.626950000e+03
1.255000e-05,1.724692162e-07,-7.208711111e-07,3.263600000e-08,1.225480889e-07,2.852836510e+03,-1.100030000e+03
1.456000e-05,1.063985327e-07,-3.934177778e-07,3.425777778e-08,6.688102222e-08,3.073251502e+03,-1.285610000e+03
1.744000e-05,5.824863134e-08,4.865333333e-08,2.835377778e-08,2.835377778e-08,3.399300323e+03,3.833300000e+03
2.146000e-05,2.630554968e-08,3.001200000e-07,2.857244444e-08,5.102040000e-08,4.087047670e+03,8.061600000e+02
2.549000e-05,1.182913381e-08,3.542400000e-07,3.012133333e-08,6.022080000e-08,5.226839101e+03,5.420300000e+02
2.950000e-05,5.960529227e-09,3.327377778e-07,2.744266667e-08,5.656542222e-08,6.470396761e+03,4.429200000e+02
3.528000e-05,2.968577977e-09,2.849955556e-07,2.478222222e-08,4.844924444e-08,7.642654350e+03,3.645300000e+02
4.330000e-05,4.666955154e-10,2.212177778e-07,2.685955556e-08,3.760702222e-08,1.864898678e+04,3.067100000e+02
5.140000e-05,-9.149231866e-10,1.668426667e-07,2.624000000e-08,2.836325333e-08,-8.946006288e+03,2.781900000e+02
5.941000e-05,-1.362120292e-09,1.402746667e-07,2.547466667e-08,2.547466667e-08,-5.389906825e+03,2.453500000e+02
7.095000e-05,-1.381462307e-09,1.197017778e-07,2.363422222e-08,2.363422222e-08,-3.972014213e+03,2.028300000e+02
8.707000e-05,-1.207283020e-09,6.862488889e-08,2.255911111e-08,2.255911111e-08,-3.089137107e+03,2.089600000e+02
